[14:45:08] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=True hg=False | steps=2000 seed=0 tok/step=65,536
[17:21:51] step   980/2000  ce 4.1460  lr 1.09e-03  |grad| 0.22  mem 57.4GB  tok/s 6,833
[17:23:26] step   990/2000  ce 4.1297  lr 1.08e-03  |grad| 0.22  mem 57.4GB  tok/s 6,834
[17:25:01] step  1000/2000  ce 4.2025  lr 1.07e-03  |grad| 0.19  mem 57.4GB  tok/s 6,835
[17:25:10]   [eval @ 1000] val PPL=62.41
[17:25:14]   [ckpt @ 1000] -> checkpoint_ln_seed0.pt
[17:26:48] step  1010/2000  ce 4.1644  lr 1.06e-03  |grad| 0.19  mem 57.4GB  tok/s 6,826
[17:28:23] step  1020/2000  ce 3.9391  lr 1.04e-03  |grad| 0.20  mem 57.4GB  tok/s 6,827
[17:29:58] step  1030/2000  ce 4.1820  lr 1.03e-03  |grad| 0.20  mem 57.4GB  tok/s 6,828
[17:31:33] step  1040/2000  ce 4.1174  lr 1.02e-03  |grad| 0.21  mem 57.4GB  tok/s 6,829
[17:33:08] step  1050/2000  ce 4.1999  lr 1.01e-03  |grad| 0.22  mem 57.4GB  tok/s 6,830
[17:34:42] step  1060/2000  ce 4.3542  lr 9.99e-04  |grad| 0.21  mem 57.4GB  tok/s 6,831
[17:36:17] step  1070/2000  ce 4.0222  lr 9.87e-04  |grad| 0.21  mem 57.4GB  tok/s 6,831
[17:37:52] step  1080/2000  ce 3.9231  lr 9.76e-04  |grad| 0.21  mem 57.4GB  tok/s 6,832
[17:39:27] step  1090/2000  ce 4.0401  lr 9.64e-04  |grad| 0.20  mem 57.4GB  tok/s 6,833
[17:41:02] step  1100/2000  ce 3.9697  lr 9.53e-04  |grad| 0.22  mem 57.4GB  tok/s 6,834
[17:42:36] step  1110/2000  ce 4.1044  lr 9.42e-04  |grad| 0.20  mem 57.4GB  tok/s 6,834
[17:44:11] step  1120/2000  ce 4.0625  lr 9.30e-04  |grad| 3.67  mem 57.4GB  tok/s 6,835
[17:45:46] step  1130/2000  ce 4.0008  lr 9.19e-04  |grad| 0.20  mem 57.4GB  tok/s 6,836
