[03:47:10] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=True ln=False hg=False | steps=2000 seed=1 tok/step=65,536
[06:16:41] step   920/2000  ce 4.1757  lr 1.16e-03  |grad| 0.21  mem 59.2GB  tok/s 6,724
[06:18:18] step   930/2000  ce 4.4053  lr 1.15e-03  |grad| 0.24  mem 59.2GB  tok/s 6,724
[06:19:55] step   940/2000  ce 3.6326  lr 1.13e-03  |grad| 0.25  mem 59.2GB  tok/s 6,724
[06:21:33] step   950/2000  ce 4.2375  lr 1.12e-03  |grad| 0.22  mem 59.2GB  tok/s 6,725
[06:23:10] step   960/2000  ce 3.9552  lr 1.11e-03  |grad| 0.21  mem 59.2GB  tok/s 6,725
[06:24:47] step   970/2000  ce 4.0541  lr 1.10e-03  |grad| 0.23  mem 59.2GB  tok/s 6,725
[06:26:24] step   980/2000  ce 4.1999  lr 1.09e-03  |grad| 0.20  mem 59.2GB  tok/s 6,726
[06:28:01] step   990/2000  ce 4.2242  lr 1.08e-03  |grad| 0.23  mem 59.2GB  tok/s 6,726
[06:29:38] step  1000/2000  ce 4.0419  lr 1.07e-03  |grad| 0.22  mem 59.2GB  tok/s 6,726
[06:29:47]   [eval @ 1000] val PPL=64.56
[06:29:51]   [ckpt @ 1000] -> checkpoint_vr_seed1.pt
[06:31:28] step  1010/2000  ce 4.0665  lr 1.06e-03  |grad| 0.21  mem 59.2GB  tok/s 6,717
[06:33:05] step  1020/2000  ce 4.2226  lr 1.04e-03  |grad| 0.20  mem 59.2GB  tok/s 6,718
[06:34:42] step  1030/2000  ce 4.1922  lr 1.03e-03  |grad| 0.20  mem 59.2GB  tok/s 6,718
[06:36:19] step  1040/2000  ce 3.9273  lr 1.02e-03  |grad| 0.23  mem 59.2GB  tok/s 6,718
[06:37:57] step  1050/2000  ce 4.0365  lr 1.01e-03  |grad| 0.22  mem 59.2GB  tok/s 6,719
[06:39:34] step  1060/2000  ce 4.1075  lr 9.99e-04  |grad| 0.22  mem 59.2GB  tok/s 6,719
[06:41:11] step  1070/2000  ce 4.4811  lr 9.87e-04  |grad| 0.24  mem 59.2GB  tok/s 6,719
[06:42:48] step  1080/2000  ce 4.1135  lr 9.76e-04  |grad| 0.20  mem 59.2GB  tok/s 6,719
[06:44:25] step  1090/2000  ce 3.9641  lr 9.64e-04  |grad| 0.21  mem 59.2GB  tok/s 6,720
[06:46:02] step  1100/2000  ce 4.1231  lr 9.53e-04  |grad| 0.21  mem 59.2GB  tok/s 6,720
[06:47:39] step  1110/2000  ce 4.0970  lr 9.42e-04  |grad| 0.20  mem 59.2GB  tok/s 6,720
[06:49:17] step  1120/2000  ce 4.1686  lr 9.30e-04  |grad| 0.19  mem 59.2GB  tok/s 6,720
[06:50:54] step  1130/2000  ce 4.1220  lr 9.19e-04  |grad| 0.20  mem 59.2GB  tok/s 6,721
[06:52:31] step  1140/2000  ce 3.8483  lr 9.08e-04  |grad| 0.20  mem 59.2GB  tok/s 6,721
[06:54:08] step  1150/2000  ce 4.3244  lr 8.96e-04  |grad| 0.20  mem 59.2GB  tok/s 6,721
[06:55:45] step  1160/2000  ce 3.8719  lr 8.85e-04  |grad| 0.19  mem 59.2GB  tok/s 6,721
[06:57:22] step  1170/2000  ce 3.9053  lr 8.74e-04  |grad| 0.19  mem 59.2GB  tok/s 6,721
[06:58:59] step  1180/2000  ce 4.1455  lr 8.63e-04  |grad| 0.18  mem 59.2GB  tok/s 6,722
[07:00:37] step  1190/2000  ce 4.0102  lr 8.52e-04  |grad| 0.19  mem 59.2GB  tok/s 6,722
[07:02:14] step  1200/2000  ce 4.1010  lr 8.41e-04  |grad| 0.19  mem 59.2GB  tok/s 6,722
[07:03:51] step  1210/2000  ce 4.0850  lr 8.30e-04  |grad| 0.18  mem 59.2GB  tok/s 6,722
[07:05:28] step  1220/2000  ce 3.9321  lr 8.19e-04  |grad| 0.19  mem 59.2GB  tok/s 6,722
[07:07:05] step  1230/2000  ce 4.1081  lr 8.08e-04  |grad| 0.18  mem 59.2GB  tok/s 6,723
[07:08:42] step  1240/2000  ce 3.7472  lr 7.97e-04  |grad| 0.19  mem 59.2GB  tok/s 6,723
[07:10:20] step  1250/2000  ce 4.0774  lr 7.86e-04  |grad| 0.21  mem 59.2GB  tok/s 6,723
[07:10:23]   [ckpt @ 1250] -> checkpoint_vr_seed1.pt
[07:12:00] step  1260/2000  ce 3.9238  lr 7.75e-04  |grad| 0.19  mem 59.2GB  tok/s 6,721
[07:13:37] step  1270/2000  ce 3.8176  lr 7.65e-04  |grad| 0.21  mem 59.2GB  tok/s 6,721
[07:15:15] step  1280/2000  ce 4.1118  lr 7.54e-04  |grad| 0.20  mem 59.2GB  tok/s 6,722
[07:16:52] step  1290/2000  ce 4.0023  lr 7.43e-04  |grad| 0.22  mem 59.2GB  tok/s 6,722
[07:18:29] step  1300/2000  ce 4.0425  lr 7.33e-04  |grad| 0.19  mem 59.2GB  tok/s 6,722
[07:20:06] step  1310/2000  ce 4.1010  lr 7.22e-04  |grad| 0.21  mem 59.2GB  tok/s 6,722
[07:21:43] step  1320/2000  ce 4.0920  lr 7.12e-04  |grad| 0.20  mem 59.2GB  tok/s 6,722
[07:23:20] step  1330/2000  ce 3.8613  lr 7.02e-04  |grad| 0.19  mem 59.2GB  tok/s 6,722
[07:24:57] step  1340/2000  ce 3.9144  lr 6.92e-04  |grad| 0.20  mem 59.2GB  tok/s 6,723
[07:26:34] step  1350/2000  ce 3.7719  lr 6.82e-04  |grad| 0.20  mem 59.2GB  tok/s 6,723
[07:28:11] step  1360/2000  ce 4.0864  lr 6.72e-04  |grad| 0.20  mem 59.2GB  tok/s 6,723
[07:29:49] step  1370/2000  ce 4.0755  lr 6.62e-04  |grad| 0.19  mem 59.2GB  tok/s 6,723
