[12:13:30] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=True | steps=2000 seed=1 tok/step=65,536
[17:35:54] step  1920/2000  ce 3.8232  lr 3.26e-04  |grad| 0.18  mem 59.3GB  tok/s 6,507
[17:37:33] step  1930/2000  ce 3.6831  lr 3.25e-04  |grad| 0.18  mem 59.3GB  tok/s 6,507
[17:39:12] step  1940/2000  ce 3.6636  lr 3.23e-04  |grad| 0.27  mem 59.3GB  tok/s 6,507
[17:40:52] step  1950/2000  ce 3.7015  lr 3.22e-04  |grad| 0.18  mem 59.3GB  tok/s 6,508
[17:42:31] step  1960/2000  ce 3.4921  lr 3.22e-04  |grad| 0.18  mem 59.3GB  tok/s 6,508
[17:44:11] step  1970/2000  ce 3.6276  lr 3.21e-04  |grad| 0.18  mem 59.3GB  tok/s 6,509
[17:45:50] step  1980/2000  ce 3.9059  lr 3.20e-04  |grad| 0.19  mem 59.3GB  tok/s 6,509
[17:47:29] step  1990/2000  ce 3.8522  lr 3.20e-04  |grad| 0.18  mem 59.3GB  tok/s 6,510
[17:49:09] step  2000/2000  ce 3.7603  lr 3.20e-04  |grad| 0.19  mem 59.3GB  tok/s 6,510
[17:49:18]   [eval @ 2000] val PPL=43.74
[17:49:22]   [ckpt @ 2000] -> checkpoint_hg_seed1.pt
[17:49:25] DONE
