[2026-07-02T07:39:04Z] [sentinel] armed: pid=3134930 kill_at=0.83 interval=30s grace=60s start_ticks=25209537 marker=/home/yashb98/Downloads/BuildFromScratch/research/loop_state.json.sentinel_kill
[2026-07-03T02:48:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T02:58:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T03:08:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T03:18:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T03:28:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T03:38:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T03:48:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T03:58:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T04:08:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T04:18:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T04:28:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T04:38:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T04:48:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T04:58:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T05:08:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T05:18:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T05:28:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T05:38:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T05:48:36Z] [sentinel] heartbeat: pool usage 43.6%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T05:58:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T06:08:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T06:18:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T06:28:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T06:38:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T06:48:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T06:58:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T07:08:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T07:18:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T07:28:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T07:38:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T07:48:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T07:58:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.5 GiB
[2026-07-03T08:08:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T08:18:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T08:28:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T08:38:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T08:48:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T08:58:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T09:08:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T09:18:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T09:28:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T09:38:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T09:48:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T09:58:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T10:08:36Z] [sentinel] heartbeat: pool usage 43.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T10:09:44Z] [sentinel] armed: pid=51025 kill_at=0.83 interval=30s grace=60s start_ticks=34753501 marker=/home/yashb98/Downloads/BuildFromScratch/research/loop_state.json.sentinel_kill
[2026-07-03T10:10:06Z] [sentinel] watched pid 3134930 exited on its own; disarming (no kill)
[2026-07-03T10:19:14Z] [sentinel] heartbeat: pool usage 26.7%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T10:29:14Z] [sentinel] heartbeat: pool usage 42.3%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T10:39:14Z] [sentinel] heartbeat: pool usage 42.5%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T10:49:14Z] [sentinel] heartbeat: pool usage 42.4%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T10:59:14Z] [sentinel] heartbeat: pool usage 42.5%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T11:09:14Z] [sentinel] heartbeat: pool usage 42.4%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T11:19:14Z] [sentinel] heartbeat: pool usage 42.5%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T11:29:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T11:39:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T11:49:14Z] [sentinel] heartbeat: pool usage 42.5%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T11:59:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T12:09:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T12:19:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T12:29:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T12:39:14Z] [sentinel] heartbeat: pool usage 42.4%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T12:49:14Z] [sentinel] heartbeat: pool usage 42.4%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T12:59:14Z] [sentinel] heartbeat: pool usage 42.4%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T13:09:14Z] [sentinel] heartbeat: pool usage 42.4%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T13:19:14Z] [sentinel] heartbeat: pool usage 42.4%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T13:29:14Z] [sentinel] heartbeat: pool usage 42.4%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T13:39:14Z] [sentinel] heartbeat: pool usage 42.4%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T13:49:14Z] [sentinel] heartbeat: pool usage 42.4%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T13:59:14Z] [sentinel] heartbeat: pool usage 42.5%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T14:09:14Z] [sentinel] heartbeat: pool usage 42.5%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T14:19:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T14:29:14Z] [sentinel] heartbeat: pool usage 42.5%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T14:39:14Z] [sentinel] heartbeat: pool usage 42.5%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T14:49:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T14:59:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T15:09:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T15:19:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T15:29:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T15:39:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T15:49:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T15:59:14Z] [sentinel] heartbeat: pool usage 42.7%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T16:09:14Z] [sentinel] heartbeat: pool usage 42.7%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T16:19:14Z] [sentinel] heartbeat: pool usage 42.7%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T16:29:14Z] [sentinel] heartbeat: pool usage 42.7%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T16:39:14Z] [sentinel] heartbeat: pool usage 42.8%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T16:49:14Z] [sentinel] heartbeat: pool usage 42.8%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T16:59:14Z] [sentinel] heartbeat: pool usage 42.7%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T17:09:14Z] [sentinel] heartbeat: pool usage 42.7%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T17:19:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T17:29:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T17:39:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T17:49:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T17:59:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T18:09:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T18:19:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T18:29:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T18:39:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T18:49:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T18:59:14Z] [sentinel] heartbeat: pool usage 42.6%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T19:09:14Z] [sentinel] heartbeat: pool usage 42.7%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T19:19:14Z] [sentinel] heartbeat: pool usage 42.7%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T19:29:14Z] [sentinel] heartbeat: pool usage 42.7%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T19:39:14Z] [sentinel] heartbeat: pool usage 42.7%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T19:49:14Z] [sentinel] heartbeat: pool usage 42.8%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T19:59:14Z] [sentinel] heartbeat: pool usage 42.8%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T20:09:14Z] [sentinel] heartbeat: pool usage 42.8%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T20:19:14Z] [sentinel] heartbeat: pool usage 42.8%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T20:29:14Z] [sentinel] heartbeat: pool usage 42.8%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T20:39:15Z] [sentinel] heartbeat: pool usage 42.8%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T20:49:15Z] [sentinel] heartbeat: pool usage 42.7%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T20:59:15Z] [sentinel] heartbeat: pool usage 42.7%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T21:09:15Z] [sentinel] heartbeat: pool usage 42.7%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T21:19:15Z] [sentinel] heartbeat: pool usage 42.8%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T21:29:15Z] [sentinel] heartbeat: pool usage 42.8%, pid 51025 alive, rss 5.4 GiB
[2026-07-03T21:39:15Z] [sentinel] heartbeat: pool usage 42.7%, pid 51025 alive, rss 5.4 GiB
