Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[safe_cuda] capped CUDA at 85% of 129 GB unified pool (~109 GB); over-allocation now errors cleanly.
[07:39:07] ARM grpo_seed0: steps=300 prompts/step=16 G=8 cap=256 beta_kl=0.003 clip=0.2 lr=1e-06 extractor=math-acc-v1 n_prompt_pool=10961
/home/yashb98/Downloads/BuildFromScratch/Qwen3-0.6B/experiments/2026-07-02_qwen3-0.6b_grpo-phase2/train_grpo.py:262: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  loss_sum += float(mb_loss)
[02:47:39] step 217/300 reward=0.0078 kept=13 len=185.7 kl=0.000167 (301.9s)
[02:52:28] step 218/300 reward=0.0 kept=16 len=187.8 kl=0.000156 (288.9s)
[02:57:13] step 219/300 reward=0.0 kept=14 len=203.2 kl=0.000178 (284.8s)
[03:03:42] step 220/300 reward=0.0 kept=13 len=192.2 kl=0.000177 (388.7s)
[03:09:00] step 221/300 reward=0.0078 kept=13 len=195.1 kl=0.000149 (318.4s)
[03:14:06] step 222/300 reward=0.0156 kept=11 len=199.5 kl=0.000165 (305.7s)
[03:19:28] step 223/300 reward=0.0156 kept=14 len=191.1 kl=0.000186 (322.0s)
[03:24:43] step 224/300 reward=0.0 kept=13 len=200.2 kl=0.000182 (314.7s)
[03:30:01] step 225/300 reward=0.0078 kept=13 len=206.8 kl=0.000168 (318.4s)
[03:35:46] step 226/300 reward=0.0078 kept=13 len=192.8 kl=0.000174 (340.8s)
[03:41:01] step 227/300 reward=0.0156 kept=14 len=179.3 kl=0.000181 (315.6s)
[03:47:00] step 228/300 reward=0.0156 kept=14 len=184.9 kl=0.000169 (358.8s)
[03:52:21] step 229/300 reward=0.0156 kept=13 len=216.6 kl=0.000165 (320.7s)
[03:57:18] step 230/300 reward=0.0156 kept=10 len=184.2 kl=0.000187 (296.9s)
[04:02:27] step 231/300 reward=0.0234 kept=14 len=198.4 kl=0.00017 (309.1s)
[04:07:25] step 232/300 reward=0.0 kept=15 len=178.6 kl=0.00018 (298.0s)
[04:12:50] step 233/300 reward=0.0 kept=15 len=194.2 kl=0.000174 (325.5s)
[04:17:58] step 234/300 reward=0.0234 kept=15 len=205.2 kl=0.000172 (308.0s)
[04:23:10] step 235/300 reward=0.0156 kept=15 len=181.2 kl=0.000192 (312.3s)
[04:28:24] step 236/300 reward=0.0 kept=14 len=193.1 kl=0.000165 (313.3s)
[04:33:43] step 237/300 reward=0.0 kept=12 len=194.6 kl=0.000151 (319.4s)
[04:39:50] step 238/300 reward=0.0078 kept=13 len=209.2 kl=0.000166 (366.7s)
[04:44:48] step 239/300 reward=0.0 kept=8 len=205.2 kl=0.000176 (297.8s)
[04:49:49] step 240/300 reward=0.0156 kept=14 len=186.1 kl=0.00017 (301.8s)
[04:54:51] step 241/300 reward=0.0234 kept=13 len=190.2 kl=0.000171 (301.3s)
[05:00:53] step 242/300 reward=0.0312 kept=14 len=190.5 kl=0.000175 (362.7s)
[05:06:29] step 243/300 reward=0.0156 kept=14 len=198.9 kl=0.00016 (335.9s)
[05:11:54] step 244/300 reward=0.0078 kept=14 len=187.6 kl=0.00017 (324.2s)
[05:17:07] step 245/300 reward=0.0 kept=13 len=202.3 kl=0.00017 (313.3s)
[05:22:19] step 246/300 reward=0.0 kept=14 len=187.2 kl=0.000171 (312.7s)
[05:27:24] step 247/300 reward=0.0078 kept=14 len=190.8 kl=0.00019 (304.4s)
[05:32:27] step 248/300 reward=0.0078 kept=12 len=196.1 kl=0.000192 (303.4s)
[05:37:46] step 249/300 reward=0.0234 kept=15 len=191.5 kl=0.000176 (318.9s)
[05:43:13] step 250/300 reward=0.0078 kept=14 len=176.7 kl=0.00018 (326.9s)
[05:48:41] step 251/300 reward=0.0156 kept=13 len=207.4 kl=0.000165 (324.0s)
[05:53:41] step 252/300 reward=0.0 kept=16 len=187.3 kl=0.000161 (300.7s)
[05:58:50] step 253/300 reward=0.0156 kept=15 len=186.0 kl=0.000158 (308.2s)
[06:04:09] step 254/300 reward=0.0156 kept=13 len=197.0 kl=0.000157 (319.5s)
[06:10:00] step 255/300 reward=0.0156 kept=14 len=178.4 kl=0.000177 (351.2s)
[06:15:22] step 256/300 reward=0.0156 kept=16 len=190.9 kl=0.000179 (321.9s)
[06:20:26] step 257/300 reward=0.0 kept=14 len=200.2 kl=0.000179 (303.7s)
[06:26:06] step 258/300 reward=0.0 kept=15 len=199.1 kl=0.000159 (340.2s)
[06:31:42] step 259/300 reward=0.0078 kept=11 len=169.6 kl=0.000184 (335.7s)
[06:36:48] step 260/300 reward=0.0156 kept=14 len=183.3 kl=0.000165 (305.8s)
[06:41:48] step 261/300 reward=0.0078 kept=12 len=208.8 kl=0.000185 (300.2s)
[06:47:08] step 262/300 reward=0.0078 kept=15 len=207.4 kl=0.000159 (319.7s)
[06:52:25] step 263/300 reward=0.0078 kept=11 len=197.1 kl=0.00017 (317.4s)
[06:57:48] step 264/300 reward=0.0 kept=14 len=189.5 kl=0.000166 (322.9s)
[07:03:09] step 265/300 reward=0.0 kept=11 len=203.1 kl=0.000187 (321.5s)
[07:08:25] step 266/300 reward=0.0078 kept=14 len=184.8 kl=0.000169 (315.8s)
[07:13:16] step 267/300 reward=0.0156 kept=12 len=206.5 kl=0.000177 (290.5s)
