[2026-06-27T23:15:22Z] [sentinel] armed: pid=3854112 kill_at=0.83 interval=30s grace=60s start_ticks=167457879 marker=/home/yashb98/Downloads/BuildFromScratch/research/loop_state.json.sentinel_kill
[2026-06-27T23:15:52Z] [sentinel] watched pid 3854112 exited on its own; disarming (no kill)
[2026-06-29T20:50:51Z] [sentinel] heartbeat: pool usage 61.3%, pid 426480 alive, rss 8.6 GiB
[2026-06-29T21:00:51Z] [sentinel] heartbeat: pool usage 61.4%, pid 426480 alive, rss 8.6 GiB
[2026-06-29T21:10:51Z] [sentinel] heartbeat: pool usage 61.5%, pid 426480 alive, rss 8.6 GiB
[2026-06-29T21:20:51Z] [sentinel] heartbeat: pool usage 61.5%, pid 426480 alive, rss 8.6 GiB
[2026-06-29T21:30:51Z] [sentinel] heartbeat: pool usage 60.3%, pid 426480 alive, rss 7.3 GiB
[2026-06-29T21:40:51Z] [sentinel] heartbeat: pool usage 60.4%, pid 426480 alive, rss 7.3 GiB
[2026-06-29T21:50:51Z] [sentinel] heartbeat: pool usage 60.4%, pid 426480 alive, rss 7.3 GiB
[2026-06-29T22:00:51Z] [sentinel] heartbeat: pool usage 60.5%, pid 426480 alive, rss 7.3 GiB
[2026-06-29T22:10:51Z] [sentinel] heartbeat: pool usage 60.5%, pid 426480 alive, rss 7.3 GiB
[2026-06-29T22:20:51Z] [sentinel] heartbeat: pool usage 60.5%, pid 426480 alive, rss 7.3 GiB
[2026-06-29T22:30:51Z] [sentinel] heartbeat: pool usage 60.5%, pid 426480 alive, rss 7.3 GiB
[2026-06-29T22:40:51Z] [sentinel] heartbeat: pool usage 60.5%, pid 426480 alive, rss 7.3 GiB
[2026-06-29T22:50:51Z] [sentinel] heartbeat: pool usage 60.5%, pid 426480 alive, rss 7.3 GiB
[2026-06-29T23:00:51Z] [sentinel] heartbeat: pool usage 60.5%, pid 426480 alive, rss 7.3 GiB
[2026-06-29T23:10:51Z] [sentinel] heartbeat: pool usage 60.5%, pid 426480 alive, rss 7.3 GiB
[2026-06-29T23:20:51Z] [sentinel] heartbeat: pool usage 60.5%, pid 426480 alive, rss 7.3 GiB
[2026-06-29T23:30:51Z] [sentinel] heartbeat: pool usage 60.5%, pid 426480 alive, rss 7.3 GiB
[2026-06-29T23:40:51Z] [sentinel] heartbeat: pool usage 60.6%, pid 426480 alive, rss 7.3 GiB
[2026-06-29T23:50:51Z] [sentinel] heartbeat: pool usage 60.5%, pid 426480 alive, rss 7.3 GiB
[2026-06-30T00:00:51Z] [sentinel] heartbeat: pool usage 60.5%, pid 426480 alive, rss 7.3 GiB
[2026-06-30T00:07:21Z] [sentinel] watched pid 426480 exited on its own; disarming (no kill)
