[17:23:31] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=0 tok/step=65,536
[20:48:17] step  1290/2000  ce 4.0514  lr 7.43e-04  |grad| 0.21  mem 57.4GB  tok/s 6,883
[20:49:52] step  1300/2000  ce 4.4699  lr 7.33e-04  |grad| 0.36  mem 57.4GB  tok/s 6,884
[20:51:27] step  1310/2000  ce 4.1837  lr 7.22e-04  |grad| 0.19  mem 57.4GB  tok/s 6,884
[20:53:02] step  1320/2000  ce 4.4795  lr 7.12e-04  |grad| 0.19  mem 57.4GB  tok/s 6,884
[20:54:37] step  1330/2000  ce 4.2685  lr 7.02e-04  |grad| 0.20  mem 57.4GB  tok/s 6,884
[20:56:12] step  1340/2000  ce 4.1554  lr 6.92e-04  |grad| 0.20  mem 57.4GB  tok/s 6,884
[20:57:47] step  1350/2000  ce 4.2069  lr 6.82e-04  |grad| 0.21  mem 57.4GB  tok/s 6,884
[20:59:22] step  1360/2000  ce 4.1643  lr 6.72e-04  |grad| 0.21  mem 57.4GB  tok/s 6,884
[21:00:57] step  1370/2000  ce 4.1811  lr 6.62e-04  |grad| 0.19  mem 57.4GB  tok/s 6,885
[21:02:32] step  1380/2000  ce 4.1322  lr 6.52e-04  |grad| 0.19  mem 57.4GB  tok/s 6,885
[21:04:07] step  1390/2000  ce 4.1485  lr 6.42e-04  |grad| 0.21  mem 57.4GB  tok/s 6,885
[21:05:41] step  1400/2000  ce 4.0227  lr 6.33e-04  |grad| 0.20  mem 57.4GB  tok/s 6,885
[21:07:16] step  1410/2000  ce 3.9810  lr 6.23e-04  |grad| 0.20  mem 57.4GB  tok/s 6,885
[21:08:51] step  1420/2000  ce 4.0980  lr 6.14e-04  |grad| 0.21  mem 57.4GB  tok/s 6,885
[21:10:26] step  1430/2000  ce 4.0891  lr 6.04e-04  |grad| 0.20  mem 57.4GB  tok/s 6,885
[21:12:01] step  1440/2000  ce 4.1031  lr 5.95e-04  |grad| 0.20  mem 57.4GB  tok/s 6,886
[21:13:36] step  1450/2000  ce 4.3949  lr 5.86e-04  |grad| 0.17  mem 57.4GB  tok/s 6,886
[21:15:11] step  1460/2000  ce 3.8520  lr 5.77e-04  |grad| 0.20  mem 57.4GB  tok/s 6,886
[21:16:46] step  1470/2000  ce 3.9285  lr 5.68e-04  |grad| 0.20  mem 57.4GB  tok/s 6,886
[21:18:21] step  1480/2000  ce 4.1132  lr 5.60e-04  |grad| 0.19  mem 57.4GB  tok/s 6,886
[21:19:56] step  1490/2000  ce 4.2675  lr 5.51e-04  |grad| 0.18  mem 57.4GB  tok/s 6,886
[21:21:30] step  1500/2000  ce 4.0862  lr 5.43e-04  |grad| 0.19  mem 57.4GB  tok/s 6,886
[21:21:39]   [eval @ 1500] val PPL=55.48
[21:21:43]   [ckpt @ 1500] -> checkpoint_mix_seed0.pt
[21:23:18] step  1510/2000  ce 3.9774  lr 5.34e-04  |grad| 0.18  mem 57.4GB  tok/s 6,881
[21:24:53] step  1520/2000  ce 4.1628  lr 5.26e-04  |grad| 0.19  mem 57.4GB  tok/s 6,881
[21:26:27] step  1530/2000  ce 4.1395  lr 5.18e-04  |grad| 0.19  mem 57.4GB  tok/s 6,881
[21:28:02] step  1540/2000  ce 3.7042  lr 5.10e-04  |grad| 0.19  mem 57.4GB  tok/s 6,881
[21:29:37] step  1550/2000  ce 4.0447  lr 5.02e-04  |grad| 0.19  mem 57.4GB  tok/s 6,881
[21:31:12] step  1560/2000  ce 4.0411  lr 4.95e-04  |grad| 0.19  mem 57.4GB  tok/s 6,882
[21:32:47] step  1570/2000  ce 4.1525  lr 4.87e-04  |grad| 0.18  mem 57.4GB  tok/s 6,882
[21:34:22] step  1580/2000  ce 4.1827  lr 4.80e-04  |grad| 0.21  mem 57.4GB  tok/s 6,882
[21:35:56] step  1590/2000  ce 3.9087  lr 4.73e-04  |grad| 0.18  mem 57.4GB  tok/s 6,882
[21:37:31] step  1600/2000  ce 4.2689  lr 4.65e-04  |grad| 0.19  mem 57.4GB  tok/s 6,882
[21:39:06] step  1610/2000  ce 4.0558  lr 4.59e-04  |grad| 0.18  mem 57.4GB  tok/s 6,882
[21:40:41] step  1620/2000  ce 4.0778  lr 4.52e-04  |grad| 0.18  mem 57.4GB  tok/s 6,883
[21:42:16] step  1630/2000  ce 4.0051  lr 4.45e-04  |grad| 0.17  mem 57.4GB  tok/s 6,883
