[04:41:13] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=2 tok/step=65,536
[07:01:21] step   880/2000  ce 4.4861  lr 1.20e-03  |grad| 0.25  mem 57.4GB  tok/s 6,863
[07:02:56] step   890/2000  ce 4.6755  lr 1.19e-03  |grad| 0.30  mem 57.4GB  tok/s 6,863
[07:04:32] step   900/2000  ce 4.7555  lr 1.18e-03  |grad| 0.24  mem 57.4GB  tok/s 6,863
[07:06:07] step   910/2000  ce 4.6364  lr 1.17e-03  |grad| 0.24  mem 57.4GB  tok/s 6,864
[07:07:42] step   920/2000  ce 4.1523  lr 1.16e-03  |grad| 0.25  mem 57.4GB  tok/s 6,864
[07:09:17] step   930/2000  ce 4.4430  lr 1.15e-03  |grad| 0.24  mem 57.4GB  tok/s 6,864
[07:10:52] step   940/2000  ce 4.7016  lr 1.13e-03  |grad| 0.25  mem 57.4GB  tok/s 6,864
[07:12:27] step   950/2000  ce 4.5106  lr 1.12e-03  |grad| 0.23  mem 57.4GB  tok/s 6,865
[07:14:02] step   960/2000  ce 4.5879  lr 1.11e-03  |grad| 0.24  mem 57.4GB  tok/s 6,865
[07:15:37] step   970/2000  ce 4.3890  lr 1.10e-03  |grad| 0.23  mem 57.4GB  tok/s 6,865
[07:17:12] step   980/2000  ce 4.6021  lr 1.09e-03  |grad| 0.27  mem 57.4GB  tok/s 6,866
[07:18:47] step   990/2000  ce 4.3095  lr 1.08e-03  |grad| 0.24  mem 57.4GB  tok/s 6,866
[07:20:22] step  1000/2000  ce 4.6663  lr 1.07e-03  |grad| 0.21  mem 57.4GB  tok/s 6,866
[07:20:32]   [eval @ 1000] val PPL=92.45
[07:20:35]   [ckpt @ 1000] -> checkpoint_treatment_seed2.pt
[07:22:11] step  1010/2000  ce 4.3698  lr 1.06e-03  |grad| 0.22  mem 57.4GB  tok/s 6,857
[07:23:46] step  1020/2000  ce 4.5271  lr 1.04e-03  |grad| 0.20  mem 57.4GB  tok/s 6,857
[07:25:21] step  1030/2000  ce 4.5387  lr 1.03e-03  |grad| 0.24  mem 57.4GB  tok/s 6,857
[07:26:56] step  1040/2000  ce 4.3191  lr 1.02e-03  |grad| 0.22  mem 57.4GB  tok/s 6,858
[07:28:31] step  1050/2000  ce 4.8751  lr 1.01e-03  |grad| 0.29  mem 57.4GB  tok/s 6,858
[07:30:06] step  1060/2000  ce 4.4541  lr 9.99e-04  |grad| 0.23  mem 57.4GB  tok/s 6,859
[07:31:42] step  1070/2000  ce 4.3744  lr 9.87e-04  |grad| 0.26  mem 57.4GB  tok/s 6,859
[07:33:17] step  1080/2000  ce 4.5475  lr 9.76e-04  |grad| 0.23  mem 57.4GB  tok/s 6,859
[07:34:52] step  1090/2000  ce 4.3669  lr 9.64e-04  |grad| 0.22  mem 57.4GB  tok/s 6,859
[07:36:28] step  1100/2000  ce 4.4412  lr 9.53e-04  |grad| 0.22  mem 57.4GB  tok/s 6,859
[07:38:03] step  1110/2000  ce 4.3003  lr 9.42e-04  |grad| 0.20  mem 57.4GB  tok/s 6,859
[07:39:38] step  1120/2000  ce 4.4882  lr 9.30e-04  |grad| 0.22  mem 57.4GB  tok/s 6,860
[07:41:14] step  1130/2000  ce 4.5601  lr 9.19e-04  |grad| 0.22  mem 57.4GB  tok/s 6,860
[07:42:49] step  1140/2000  ce 4.4798  lr 9.08e-04  |grad| 0.21  mem 57.4GB  tok/s 6,860
[07:44:24] step  1150/2000  ce 4.2745  lr 8.96e-04  |grad| 0.22  mem 57.4GB  tok/s 6,860
[07:45:59] step  1160/2000  ce 4.3844  lr 8.85e-04  |grad| 0.21  mem 57.4GB  tok/s 6,860
[07:47:35] step  1170/2000  ce 4.3055  lr 8.74e-04  |grad| 0.24  mem 57.4GB  tok/s 6,860
[07:49:10] step  1180/2000  ce 4.6027  lr 8.63e-04  |grad| 0.21  mem 57.4GB  tok/s 6,860
[07:50:45] step  1190/2000  ce 4.3069  lr 8.52e-04  |grad| 0.21  mem 57.4GB  tok/s 6,861
[07:52:21] step  1200/2000  ce 4.5104  lr 8.41e-04  |grad| 0.21  mem 57.4GB  tok/s 6,861
[07:53:56] step  1210/2000  ce 4.3373  lr 8.30e-04  |grad| 0.23  mem 57.4GB  tok/s 6,861
[07:55:31] step  1220/2000  ce 4.1689  lr 8.19e-04  |grad| 0.23  mem 57.4GB  tok/s 6,861
[07:57:07] step  1230/2000  ce 4.3436  lr 8.08e-04  |grad| 0.20  mem 57.4GB  tok/s 6,861
[07:58:42] step  1240/2000  ce 4.2199  lr 7.97e-04  |grad| 0.22  mem 57.4GB  tok/s 6,861
