[00:11:50] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=2 tok/step=65,536
[02:50:04]   [ckpt @ 1000] -> checkpoint_baseline_seed2.pt
[02:51:39] step  1010/2000  ce 4.1331  lr 1.06e-03  |grad| 0.23  mem 57.4GB  tok/s 6,906
[02:53:13] step  1020/2000  ce 4.1835  lr 1.04e-03  |grad| 0.20  mem 57.4GB  tok/s 6,906
[02:54:47] step  1030/2000  ce 4.5153  lr 1.03e-03  |grad| 0.21  mem 57.4GB  tok/s 6,907
[02:56:22] step  1040/2000  ce 4.2871  lr 1.02e-03  |grad| 0.22  mem 57.4GB  tok/s 6,907
[02:57:56] step  1050/2000  ce 4.1984  lr 1.01e-03  |grad| 0.20  mem 57.4GB  tok/s 6,907
[02:59:31] step  1060/2000  ce 4.3366  lr 9.99e-04  |grad| 0.20  mem 57.4GB  tok/s 6,908
[03:01:05] step  1070/2000  ce 4.3864  lr 9.87e-04  |grad| 0.23  mem 57.4GB  tok/s 6,908
[03:02:40] step  1080/2000  ce 4.1475  lr 9.76e-04  |grad| 0.20  mem 57.4GB  tok/s 6,908
[03:04:14] step  1090/2000  ce 4.2709  lr 9.64e-04  |grad| 0.27  mem 57.4GB  tok/s 6,908
[03:05:49] step  1100/2000  ce 4.3306  lr 9.53e-04  |grad| 0.21  mem 57.4GB  tok/s 6,909
[03:07:23] step  1110/2000  ce 4.0702  lr 9.42e-04  |grad| 0.21  mem 57.4GB  tok/s 6,909
[03:08:58] step  1120/2000  ce 4.3093  lr 9.30e-04  |grad| 0.22  mem 57.4GB  tok/s 6,909
[03:10:32] step  1130/2000  ce 4.3171  lr 9.19e-04  |grad| 0.22  mem 57.4GB  tok/s 6,909
[03:12:07] step  1140/2000  ce 4.0356  lr 9.08e-04  |grad| 0.22  mem 57.4GB  tok/s 6,910
[03:13:41] step  1150/2000  ce 4.3151  lr 8.96e-04  |grad| 0.21  mem 57.4GB  tok/s 6,910
[03:15:16] step  1160/2000  ce 4.1705  lr 8.85e-04  |grad| 0.20  mem 57.4GB  tok/s 6,910
[03:16:50] step  1170/2000  ce 4.3129  lr 8.74e-04  |grad| 0.21  mem 57.4GB  tok/s 6,910
[03:18:25] step  1180/2000  ce 4.1432  lr 8.63e-04  |grad| 0.22  mem 57.4GB  tok/s 6,910
[03:20:00] step  1190/2000  ce 4.2999  lr 8.52e-04  |grad| 0.20  mem 57.4GB  tok/s 6,910
[03:21:34] step  1200/2000  ce 4.1351  lr 8.41e-04  |grad| 0.23  mem 57.4GB  tok/s 6,911
[03:23:08] step  1210/2000  ce 3.9564  lr 8.30e-04  |grad| 0.19  mem 57.4GB  tok/s 6,911
[03:24:43] step  1220/2000  ce 4.2242  lr 8.19e-04  |grad| 0.20  mem 57.4GB  tok/s 6,911
[03:26:17] step  1230/2000  ce 4.3558  lr 8.08e-04  |grad| 0.19  mem 57.4GB  tok/s 6,911
[03:27:52] step  1240/2000  ce 4.1746  lr 7.97e-04  |grad| 0.20  mem 57.4GB  tok/s 6,912
[03:29:26] step  1250/2000  ce 4.3027  lr 7.86e-04  |grad| 0.19  mem 57.4GB  tok/s 6,912
[03:29:30]   [ckpt @ 1250] -> checkpoint_baseline_seed2.pt
[03:31:04] step  1260/2000  ce 4.0246  lr 7.75e-04  |grad| 0.19  mem 57.4GB  tok/s 6,910
[03:32:39] step  1270/2000  ce 4.2897  lr 7.65e-04  |grad| 0.21  mem 57.4GB  tok/s 6,910
[03:34:13] step  1280/2000  ce 4.0957  lr 7.54e-04  |grad| 0.19  mem 57.4GB  tok/s 6,910
[03:35:48] step  1290/2000  ce 4.2205  lr 7.43e-04  |grad| 0.20  mem 57.4GB  tok/s 6,911
[03:37:22] step  1300/2000  ce 4.0121  lr 7.33e-04  |grad| 0.22  mem 57.4GB  tok/s 6,911
[03:38:56] step  1310/2000  ce 4.0508  lr 7.22e-04  |grad| 0.21  mem 57.4GB  tok/s 6,911
[03:40:31] step  1320/2000  ce 4.0655  lr 7.12e-04  |grad| 0.20  mem 57.4GB  tok/s 6,911
[03:42:05] step  1330/2000  ce 4.2374  lr 7.02e-04  |grad| 0.19  mem 57.4GB  tok/s 6,911
[03:43:40] step  1340/2000  ce 4.1158  lr 6.92e-04  |grad| 0.21  mem 57.4GB  tok/s 6,912
[03:45:15] step  1350/2000  ce 4.0545  lr 6.82e-04  |grad| 0.19  mem 57.4GB  tok/s 6,912
[03:46:49] step  1360/2000  ce 3.8957  lr 6.72e-04  |grad| 0.19  mem 57.4GB  tok/s 6,912
[03:48:24] step  1370/2000  ce 3.9152  lr 6.62e-04  |grad| 0.20  mem 57.4GB  tok/s 6,912
[03:49:58] step  1380/2000  ce 4.2952  lr 6.52e-04  |grad| 0.20  mem 57.4GB  tok/s 6,912
[03:51:33] step  1390/2000  ce 3.9222  lr 6.42e-04  |grad| 0.20  mem 57.4GB  tok/s 6,912
[03:53:07] step  1400/2000  ce 4.0499  lr 6.33e-04  |grad| 0.18  mem 57.4GB  tok/s 6,913
[03:54:42] step  1410/2000  ce 3.8439  lr 6.23e-04  |grad| 0.19  mem 57.4GB  tok/s 6,913
[03:56:16] step  1420/2000  ce 4.0717  lr 6.14e-04  |grad| 0.20  mem 57.4GB  tok/s 6,913
[03:57:51] step  1430/2000  ce 4.1044  lr 6.04e-04  |grad| 0.19  mem 57.4GB  tok/s 6,913
[03:59:25] step  1440/2000  ce 4.0575  lr 5.95e-04  |grad| 0.19  mem 57.4GB  tok/s 6,913
[04:01:00] step  1450/2000  ce 4.1043  lr 5.86e-04  |grad| 0.18  mem 57.4GB  tok/s 6,913
[04:02:34] step  1460/2000  ce 4.0352  lr 5.77e-04  |grad| 0.19  mem 57.4GB  tok/s 6,913
[04:04:09] step  1470/2000  ce 4.1404  lr 5.68e-04  |grad| 0.18  mem 57.4GB  tok/s 6,914
[04:05:43] step  1480/2000  ce 4.0666  lr 5.60e-04  |grad| 0.22  mem 57.4GB  tok/s 6,914
[04:07:18] step  1490/2000  ce 4.0670  lr 5.51e-04  |grad| 0.18  mem 57.4GB  tok/s 6,914
