[16:21:16] ARM arch=faithful schedule=wsd optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=2 tok/step=65,536
[19:12:42] step  1080/2000  ce 4.1693  lr 1.70e-03  |grad| 0.25  mem 57.4GB  tok/s 6,884
[19:14:17] step  1090/2000  ce 4.3038  lr 1.70e-03  |grad| 0.27  mem 57.4GB  tok/s 6,884
[19:15:51] step  1100/2000  ce 4.3676  lr 1.70e-03  |grad| 0.23  mem 57.4GB  tok/s 6,885
[19:17:26] step  1110/2000  ce 4.1141  lr 1.70e-03  |grad| 0.26  mem 57.4GB  tok/s 6,885
[19:19:01] step  1120/2000  ce 4.3436  lr 1.70e-03  |grad| 0.22  mem 57.4GB  tok/s 6,885
[19:20:36] step  1130/2000  ce 4.3490  lr 1.70e-03  |grad| 0.25  mem 57.4GB  tok/s 6,885
[19:22:11] step  1140/2000  ce 4.0864  lr 1.70e-03  |grad| 0.25  mem 57.4GB  tok/s 6,885
[19:23:46] step  1150/2000  ce 4.3724  lr 1.70e-03  |grad| 0.26  mem 57.4GB  tok/s 6,886
[19:25:20] step  1160/2000  ce 4.2155  lr 1.70e-03  |grad| 0.23  mem 57.4GB  tok/s 6,886
[19:26:55] step  1170/2000  ce 4.3709  lr 1.70e-03  |grad| 0.24  mem 57.4GB  tok/s 6,886
[19:28:30] step  1180/2000  ce 4.1844  lr 1.70e-03  |grad| 0.22  mem 57.4GB  tok/s 6,886
[19:30:05] step  1190/2000  ce 4.3465  lr 1.70e-03  |grad| 0.28  mem 57.4GB  tok/s 6,886
[19:31:40] step  1200/2000  ce 4.1617  lr 1.70e-03  |grad| 0.24  mem 57.4GB  tok/s 6,887
[19:33:15] step  1210/2000  ce 4.0005  lr 1.70e-03  |grad| 0.23  mem 57.4GB  tok/s 6,887
[19:34:49] step  1220/2000  ce 4.2844  lr 1.70e-03  |grad| 0.24  mem 57.4GB  tok/s 6,887
[19:36:24] step  1230/2000  ce 4.3992  lr 1.70e-03  |grad| 0.26  mem 57.4GB  tok/s 6,887
[19:37:59] step  1240/2000  ce 4.2277  lr 1.70e-03  |grad| 0.22  mem 57.4GB  tok/s 6,888
[19:39:34] step  1250/2000  ce 4.3592  lr 1.70e-03  |grad| 0.22  mem 57.4GB  tok/s 6,888
[19:39:38]   [ckpt @ 1250] -> checkpoint_wsd_seed2.pt
[19:41:12] step  1260/2000  ce 4.0849  lr 1.70e-03  |grad| 0.25  mem 57.4GB  tok/s 6,886
[19:42:47] step  1270/2000  ce 4.3529  lr 1.70e-03  |grad| 0.24  mem 57.4GB  tok/s 6,886
[19:44:22] step  1280/2000  ce 4.1483  lr 1.70e-03  |grad| 0.24  mem 57.4GB  tok/s 6,886
[19:45:57] step  1290/2000  ce 4.2712  lr 1.70e-03  |grad| 0.25  mem 57.4GB  tok/s 6,886
[19:47:32] step  1300/2000  ce 4.0639  lr 1.70e-03  |grad| 0.28  mem 57.4GB  tok/s 6,886
[19:49:07] step  1310/2000  ce 4.0994  lr 1.70e-03  |grad| 0.21  mem 57.4GB  tok/s 6,887
[19:50:41] step  1320/2000  ce 4.1356  lr 1.70e-03  |grad| 0.23  mem 57.4GB  tok/s 6,887
[19:52:16] step  1330/2000  ce 4.2843  lr 1.70e-03  |grad| 0.28  mem 57.4GB  tok/s 6,887
[19:53:51] step  1340/2000  ce 4.1726  lr 1.70e-03  |grad| 0.23  mem 57.4GB  tok/s 6,887
[19:55:26] step  1350/2000  ce 4.1230  lr 1.70e-03  |grad| 0.23  mem 57.4GB  tok/s 6,887
[19:57:01] step  1360/2000  ce 3.9616  lr 1.70e-03  |grad| 0.22  mem 57.4GB  tok/s 6,888
[19:58:35] step  1370/2000  ce 3.9628  lr 1.70e-03  |grad| 0.23  mem 57.4GB  tok/s 6,888
[20:00:10] step  1380/2000  ce 4.3585  lr 1.70e-03  |grad| 0.24  mem 57.4GB  tok/s 6,888
[20:01:45] step  1390/2000  ce 3.9926  lr 1.70e-03  |grad| 0.24  mem 57.4GB  tok/s 6,888
[20:03:20] step  1400/2000  ce 4.1263  lr 1.70e-03  |grad| 0.19  mem 57.4GB  tok/s 6,888
[20:04:55] step  1410/2000  ce 3.9086  lr 1.70e-03  |grad| 0.21  mem 57.4GB  tok/s 6,888
[20:06:30] step  1420/2000  ce 4.1433  lr 1.70e-03  |grad| 0.21  mem 57.4GB  tok/s 6,889
[20:08:05] step  1430/2000  ce 4.1644  lr 1.70e-03  |grad| 0.24  mem 57.4GB  tok/s 6,889
[20:09:40] step  1440/2000  ce 4.1262  lr 1.70e-03  |grad| 0.26  mem 57.4GB  tok/s 6,889
[20:11:14] step  1450/2000  ce 4.1660  lr 1.70e-03  |grad| 0.23  mem 57.4GB  tok/s 6,889
[20:12:49] step  1460/2000  ce 4.0948  lr 1.70e-03  |grad| 0.21  mem 57.4GB  tok/s 6,889
[20:14:24] step  1470/2000  ce 4.2050  lr 1.70e-03  |grad| 0.22  mem 57.4GB  tok/s 6,889
[20:15:59] step  1480/2000  ce 4.1502  lr 1.70e-03  |grad| 0.25  mem 57.4GB  tok/s 6,889
[20:17:34] step  1490/2000  ce 4.1436  lr 1.70e-03  |grad| 0.21  mem 57.4GB  tok/s 6,889
[20:19:09] step  1500/2000  ce 4.1038  lr 1.70e-03  |grad| 0.21  mem 57.4GB  tok/s 6,889
[20:19:18]   [eval @ 1500] val PPL=57.29
[20:19:22]   [ckpt @ 1500] -> checkpoint_wsd_seed2.pt
[20:20:56] step  1510/2000  ce 3.9445  lr 1.70e-03  |grad| 0.25  mem 57.4GB  tok/s 6,884
[20:22:31] step  1520/2000  ce 4.3317  lr 1.70e-03  |grad| 0.26  mem 57.4GB  tok/s 6,884
[20:24:06] step  1530/2000  ce 4.1861  lr 1.70e-03  |grad| 0.25  mem 57.4GB  tok/s 6,884
[20:25:41] step  1540/2000  ce 4.1194  lr 1.70e-03  |grad| 0.29  mem 57.4GB  tok/s 6,884
[20:27:16] step  1550/2000  ce 4.3433  lr 1.70e-03  |grad| 0.25  mem 57.4GB  tok/s 6,884
[20:28:51] step  1560/2000  ce 4.1449  lr 1.70e-03  |grad| 0.26  mem 57.4GB  tok/s 6,884
[20:30:26] step  1570/2000  ce 4.0196  lr 1.70e-03  |grad| 0.25  mem 57.4GB  tok/s 6,884
[20:32:03] step  1580/2000  ce 3.8522  lr 1.70e-03  |grad| 0.22  mem 57.4GB  tok/s 6,883
[20:33:38] step  1590/2000  ce 4.1408  lr 1.70e-03  |grad| 0.24  mem 57.4GB  tok/s 6,884
[20:35:13] step  1600/2000  ce 4.1172  lr 1.70e-03  |grad| 0.22  mem 57.4GB  tok/s 6,884
[20:36:47] step  1610/2000  ce 3.9298  lr 1.66e-03  |grad| 0.21  mem 57.4GB  tok/s 6,884
[20:38:22] step  1620/2000  ce 3.7767  lr 1.61e-03  |grad| 0.22  mem 57.4GB  tok/s 6,884
[20:39:57] step  1630/2000  ce 4.1123  lr 1.57e-03  |grad| 0.23  mem 57.4GB  tok/s 6,884
[20:41:32] step  1640/2000  ce 3.9024  lr 1.53e-03  |grad| 0.21  mem 57.4GB  tok/s 6,885
[20:43:07] step  1650/2000  ce 3.9853  lr 1.49e-03  |grad| 0.21  mem 57.4GB  tok/s 6,885
[20:44:42] step  1660/2000  ce 3.9001  lr 1.44e-03  |grad| 0.21  mem 57.4GB  tok/s 6,885
[20:46:16] step  1670/2000  ce 3.7277  lr 1.40e-03  |grad| 0.21  mem 57.4GB  tok/s 6,885
[20:47:51] step  1680/2000  ce 4.1222  lr 1.36e-03  |grad| 0.22  mem 57.4GB  tok/s 6,885
[20:49:26] step  1690/2000  ce 3.7805  lr 1.32e-03  |grad| 0.19  mem 57.4GB  tok/s 6,885
[20:51:01] step  1700/2000  ce 4.0306  lr 1.27e-03  |grad| 0.20  mem 57.4GB  tok/s 6,885
[20:52:36] step  1710/2000  ce 3.9619  lr 1.23e-03  |grad| 0.20  mem 57.4GB  tok/s 6,886
[20:54:11] step  1720/2000  ce 3.8477  lr 1.19e-03  |grad| 0.20  mem 57.4GB  tok/s 6,886
[20:55:45] step  1730/2000  ce 3.9753  lr 1.15e-03  |grad| 0.18  mem 57.4GB  tok/s 6,886
[20:57:20] step  1740/2000  ce 3.9774  lr 1.11e-03  |grad| 0.17  mem 57.4GB  tok/s 6,886
[20:58:55] step  1750/2000  ce 4.0380  lr 1.06e-03  |grad| 0.19  mem 57.4GB  tok/s 6,886
[20:58:59]   [ckpt @ 1750] -> checkpoint_wsd_seed2.pt
[21:00:33] step  1760/2000  ce 3.9880  lr 1.02e-03  |grad| 0.21  mem 57.4GB  tok/s 6,885
[21:02:08] step  1770/2000  ce 3.8561  lr 9.77e-04  |grad| 0.19  mem 57.4GB  tok/s 6,885
[21:03:43] step  1780/2000  ce 3.9356  lr 9.35e-04  |grad| 0.20  mem 57.4GB  tok/s 6,885
[21:05:18] step  1790/2000  ce 4.0556  lr 8.92e-04  |grad| 0.19  mem 57.4GB  tok/s 6,885
[21:06:53] step  1800/2000  ce 3.7199  lr 8.50e-04  |grad| 0.19  mem 57.4GB  tok/s 6,885
[21:08:28] step  1810/2000  ce 3.8919  lr 8.07e-04  |grad| 0.20  mem 57.4GB  tok/s 6,885
[21:10:03] step  1820/2000  ce 3.6949  lr 7.65e-04  |grad| 0.19  mem 57.4GB  tok/s 6,886
[21:11:38] step  1830/2000  ce 3.6094  lr 7.22e-04  |grad| 0.17  mem 57.4GB  tok/s 6,886
[21:13:12] step  1840/2000  ce 3.6179  lr 6.80e-04  |grad| 0.18  mem 57.4GB  tok/s 6,886
[21:14:47] step  1850/2000  ce 3.9194  lr 6.37e-04  |grad| 0.19  mem 57.4GB  tok/s 6,886
[21:16:22] step  1860/2000  ce 3.4218  lr 5.95e-04  |grad| 0.16  mem 57.4GB  tok/s 6,886
[21:17:57] step  1870/2000  ce 4.0231  lr 5.53e-04  |grad| 0.18  mem 57.4GB  tok/s 6,886
[21:19:32] step  1880/2000  ce 3.7340  lr 5.10e-04  |grad| 0.21  mem 57.4GB  tok/s 6,886
[21:21:06] step  1890/2000  ce 3.7114  lr 4.68e-04  |grad| 0.17  mem 57.4GB  tok/s 6,887
[21:22:41] step  1900/2000  ce 3.7525  lr 4.25e-04  |grad| 0.17  mem 57.4GB  tok/s 6,887
[21:24:16] step  1910/2000  ce 3.7370  lr 3.82e-04  |grad| 0.18  mem 57.4GB  tok/s 6,887
[21:25:51] step  1920/2000  ce 3.8043  lr 3.40e-04  |grad| 0.17  mem 57.4GB  tok/s 6,887
[21:27:32] step  1930/2000  ce 3.7251  lr 2.97e-04  |grad| 0.16  mem 57.4GB  tok/s 6,885
[21:29:16] step  1940/2000  ce 3.8117  lr 2.55e-04  |grad| 0.15  mem 57.4GB  tok/s 6,882
[21:30:58] step  1950/2000  ce 3.7537  lr 2.12e-04  |grad| 0.16  mem 57.4GB  tok/s 6,879
[21:32:40] step  1960/2000  ce 3.9515  lr 1.70e-04  |grad| 0.16  mem 57.4GB  tok/s 6,876
[21:34:24] step  1970/2000  ce 4.0154  lr 1.27e-04  |grad| 0.16  mem 57.4GB  tok/s 6,873
[21:36:10] step  1980/2000  ce 3.6504  lr 8.50e-05  |grad| 0.15  mem 57.4GB  tok/s 6,869
[21:38:02] step  1990/2000  ce 3.6804  lr 4.25e-05  |grad| 0.16  mem 57.4GB  tok/s 6,863
[21:39:50] step  2000/2000  ce 3.3891  lr 0.00e+00  |grad| 0.16  mem 57.4GB  tok/s 6,859
[21:40:00]   [eval @ 2000] val PPL=42.94
[21:40:03]   [ckpt @ 2000] -> checkpoint_wsd_seed2.pt
[21:40:07] DONE
