[03:11:22] ARM arch=imu1 schedule=cosine optimizer=adamw zloss=0.0 | vr=True ln=True hg=True | steps=2000 seed=1 tok/step=65,536
[07:27:40] step  1510/2000  ce 3.7070  lr 5.34e-04  |grad| 0.17  mem 61.1GB  tok/s 6,437
[07:29:21] step  1520/2000  ce 3.6887  lr 5.26e-04  |grad| 0.17  mem 61.1GB  tok/s 6,437
[07:31:03] step  1530/2000  ce 3.8982  lr 5.18e-04  |grad| 0.17  mem 61.1GB  tok/s 6,437
[07:32:44] step  1540/2000  ce 3.9535  lr 5.10e-04  |grad| 0.18  mem 61.1GB  tok/s 6,437
[07:34:26] step  1550/2000  ce 3.5645  lr 5.02e-04  |grad| 0.17  mem 61.1GB  tok/s 6,437
[07:36:07] step  1560/2000  ce 3.6130  lr 4.95e-04  |grad| 0.17  mem 61.1GB  tok/s 6,437
[07:37:49] step  1570/2000  ce 3.9559  lr 4.87e-04  |grad| 0.17  mem 61.1GB  tok/s 6,438
[07:39:30] step  1580/2000  ce 3.6208  lr 4.80e-04  |grad| 0.17  mem 61.1GB  tok/s 6,438
[07:41:11] step  1590/2000  ce 3.8506  lr 4.73e-04  |grad| 0.16  mem 61.1GB  tok/s 6,438
[07:42:53] step  1600/2000  ce 3.7447  lr 4.65e-04  |grad| 0.17  mem 61.1GB  tok/s 6,438
[07:44:34] step  1610/2000  ce 3.8267  lr 4.59e-04  |grad| 0.16  mem 61.1GB  tok/s 6,438
[07:46:16] step  1620/2000  ce 3.4317  lr 4.52e-04  |grad| 0.17  mem 61.1GB  tok/s 6,438
[07:47:57] step  1630/2000  ce 3.6614  lr 4.45e-04  |grad| 2.19  mem 61.1GB  tok/s 6,439
[07:49:39] step  1640/2000  ce 3.6038  lr 4.39e-04  |grad| 0.17  mem 61.1GB  tok/s 6,439
[07:51:20] step  1650/2000  ce 3.8725  lr 4.32e-04  |grad| 0.17  mem 61.1GB  tok/s 6,439
[07:53:01] step  1660/2000  ce 3.7130  lr 4.26e-04  |grad| 0.16  mem 61.1GB  tok/s 6,439
[07:54:43] step  1670/2000  ce 3.6749  lr 4.20e-04  |grad| 0.17  mem 61.1GB  tok/s 6,439
[07:56:24] step  1680/2000  ce 3.7966  lr 4.14e-04  |grad| 0.17  mem 61.1GB  tok/s 6,439
[07:58:05] step  1690/2000  ce 3.5547  lr 4.09e-04  |grad| 0.17  mem 61.1GB  tok/s 6,439
[07:59:47] step  1700/2000  ce 3.3847  lr 4.03e-04  |grad| 0.16  mem 61.1GB  tok/s 6,440
[08:01:28] step  1710/2000  ce 3.8235  lr 3.98e-04  |grad| 0.16  mem 61.1GB  tok/s 6,440
[08:03:10] step  1720/2000  ce 3.4871  lr 3.93e-04  |grad| 0.16  mem 61.1GB  tok/s 6,440
[08:04:51] step  1730/2000  ce 3.6345  lr 3.88e-04  |grad| 0.17  mem 61.1GB  tok/s 6,440
[08:06:32] step  1740/2000  ce 3.6245  lr 3.83e-04  |grad| 0.16  mem 61.1GB  tok/s 6,440
[08:08:14] step  1750/2000  ce 3.7150  lr 3.78e-04  |grad| 0.16  mem 61.1GB  tok/s 6,440
[08:08:17]   [ckpt @ 1750] -> checkpoint_arch_seed1.pt
[08:09:59] step  1760/2000  ce 3.6120  lr 3.74e-04  |grad| 0.17  mem 61.1GB  tok/s 6,439
[08:11:40] step  1770/2000  ce 3.7919  lr 3.69e-04  |grad| 0.17  mem 61.1GB  tok/s 6,439
[08:13:21] step  1780/2000  ce 3.6353  lr 3.65e-04  |grad| 0.18  mem 61.1GB  tok/s 6,439
[08:15:03] step  1790/2000  ce 3.6157  lr 3.61e-04  |grad| 0.17  mem 61.1GB  tok/s 6,440
[08:16:44] step  1800/2000  ce 3.6028  lr 3.57e-04  |grad| 0.17  mem 61.1GB  tok/s 6,440
[08:18:25] step  1810/2000  ce 3.7023  lr 3.54e-04  |grad| 0.17  mem 61.1GB  tok/s 6,440
[08:20:07] step  1820/2000  ce 3.9693  lr 3.50e-04  |grad| 0.17  mem 61.1GB  tok/s 6,440
[08:21:48] step  1830/2000  ce 3.4343  lr 3.47e-04  |grad| 0.16  mem 61.1GB  tok/s 6,440
[08:23:30] step  1840/2000  ce 3.7732  lr 3.44e-04  |grad| 0.16  mem 61.1GB  tok/s 6,440
[08:25:11] step  1850/2000  ce 3.4637  lr 3.41e-04  |grad| 0.15  mem 61.1GB  tok/s 6,440
[08:26:53] step  1860/2000  ce 3.6509  lr 3.38e-04  |grad| 0.16  mem 61.1GB  tok/s 6,440
[08:28:34] step  1870/2000  ce 3.6736  lr 3.36e-04  |grad| 0.16  mem 61.1GB  tok/s 6,441
[08:30:15] step  1880/2000  ce 3.7442  lr 3.34e-04  |grad| 0.17  mem 61.1GB  tok/s 6,441
[08:31:57] step  1890/2000  ce 3.6476  lr 3.31e-04  |grad| 0.16  mem 61.1GB  tok/s 6,441
[08:33:38] step  1900/2000  ce 3.5737  lr 3.29e-04  |grad| 0.16  mem 61.1GB  tok/s 6,441
[08:35:20] step  1910/2000  ce 3.6222  lr 3.28e-04  |grad| 0.17  mem 61.1GB  tok/s 6,441
[08:37:01] step  1920/2000  ce 3.6242  lr 3.26e-04  |grad| 0.16  mem 61.1GB  tok/s 6,441
[08:38:42] step  1930/2000  ce 3.5143  lr 3.25e-04  |grad| 0.16  mem 61.1GB  tok/s 6,441
[08:40:24] step  1940/2000  ce 3.4814  lr 3.23e-04  |grad| 0.21  mem 61.1GB  tok/s 6,441
[08:42:05] step  1950/2000  ce 3.5283  lr 3.22e-04  |grad| 0.16  mem 61.1GB  tok/s 6,442
[08:43:46] step  1960/2000  ce 3.3018  lr 3.22e-04  |grad| 0.16  mem 61.1GB  tok/s 6,442
[08:45:28] step  1970/2000  ce 3.4543  lr 3.21e-04  |grad| 0.17  mem 61.1GB  tok/s 6,442
[08:47:09] step  1980/2000  ce 3.7300  lr 3.20e-04  |grad| 0.17  mem 61.1GB  tok/s 6,442
[08:48:51] step  1990/2000  ce 3.6636  lr 3.20e-04  |grad| 0.17  mem 61.1GB  tok/s 6,442
[08:50:32] step  2000/2000  ce 3.5748  lr 3.20e-04  |grad| 0.16  mem 61.1GB  tok/s 6,442
[08:50:41]   [eval @ 2000] val PPL=36.19
[08:50:45]   [ckpt @ 2000] -> checkpoint_arch_seed1.pt
[08:50:49] DONE
